,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
3192,"california state university, chico",95929-0001     ,Public,721,854462,1769872,299,0,619847,813,706078,941437,Chico,22358.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3193,"california state university, dominguez hills",90747-0001     ,Public,148,529136,472776,81,0,101396,579,390566,670092,Carson,12535.0,Region 10,California,Region 10,0.064601696,2012.0
3194,"california state university, east bay",94542-3000     ,Public,301,502595,553785,132,0,419379,368,274509,366600,Hayward,20913.0,Region 10,California,Region 10,0.064601696,2012.0
3195,"california state university, east bay",94542-3000     ,Public,301,502595,553785,132,0,419379,368,274509,366600,Vallejo,22778.0,Region 10,California,Region 10,0.064601696,2012.0
3196,"california state university, fresno",93740-8026     ,Public,235,720893,665159,58,0,214000,3066,473396,513441,Fresno,16561.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3197,"california state university, fullerton",92831-3599     ,Public,197,873933,825539,135,0,270660,930,587484,916783,Fullerton,16709.0,Region 10,California,Region 10,0.064601696,2012.0
3198,"california state university, long beach",90840-0006     ,Public,628,1076300,1306525,1074,0,1512391,2282,675479,885245,Long Beach,18208.0,Region 10,California,Region 10,0.064601696,2012.0
3199,"california state university, los angeles",90032-4226     ,Public,241,846178,832519,74,0,251276,648,728885,697471,Los Angeles,14294.0,Region 10,California,Region 10,0.064601696,2012.0
3200,"california state university, monterey bay",93955-8001     ,Public,44,122188,123942,0,0,0,221,86067,86067,Seaside,19537.0,Region 6 (Santa Clara),California,Region 6 (Santa Clara),0.0591874928,2012.0
3201,"california state university, northridge",91330-8307     ,Public,466,1154277,1145638,18,0,58207,1237,612123,798405,Northridge,21338.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3202,"california state university, san bernardino",92407-2397     ,Public,289,708117,949801,37,0,154307,398,384622,386000,San Bernardino,17442.0,Region 10,California,Region 10,0.064601696,2012.0
3203,"california state university, san marcos",92096-0001     ,Public,92,222150,244991,22,0,98709,454,176172,304034,San Marcos,18587.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3204,"california state university, stanislaus",95382-0299     ,Public,158,349650,501451,30,0,96800,399,184660,186703,Turlock,16752.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3205,canada college,94061-1099     ,Public,38,83799,87191,0,0,0,154,82353,74160,Redwood City,11075.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3206,capstone college,91402-4924     ,Proprietary,10,5616,8803,0,0,0,49,13153,14400,Compton,13433.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3207,cerritos community college,90650-6296     ,Public,138,397542,378611,0,0,0,1465,431533,410984,Ridgecrest,11752.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3208,chabot college,94545-2400     ,Public,33,173042,97476,0,0,0,475,178982,170554,Hayward,11351.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3209,chapman university,92866-1099     ,Private/Non-Profit,1021,898482,1758968,130,0,196102,82,445355,293908,Orange,55395.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3210,charles drew university of medicine and science,90059-3025     ,Private/Non-Profit,80,71523,78423,0,0,0,34,27461,25200,Los Angeles,18393.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3211,city college of san francisco,94112-1821     ,Public,460,751394,791754,177,0,200230,6304,691136,888967,San Francisco,9591.0,Region 10,California,Region 10,0.064601696,2012.0
3212,city college of san francisco,94112-1821     ,Public,460,751394,791754,177,0,200230,6304,691136,888967,San Francisco,25073.0,Region 10,California,Region 10,0.064601696,2012.0
3213,claremont mckenna college,91711-6400     ,Private/Non-Profit,217,115855,208802,24,0,127762,105,155353,123750,Claremont,57865.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0674602353,2012.0
3214,coleman university,92123-1506     ,Private/Non-Profit,23,62227,85080,0,0,0,79,94457,123000,San Diego,29815.0,Region 10,California,Region 10,0.064601696,2012.0
3215,college of alameda,94501-2109     ,Public,85,214469,228131,0,0,0,512,314251,288050,Alameda,11189.0,Region 7R (Contra Costa),California,Region 7R (Contra Costa),0.0646392506,2012.0
3216,college of marin,94904-2590     ,Public,96,249924,314367,0,0,0,95,165580,183733,Kentfield,13922.0,Region 9R (San Mateo),California,Region 9R (San Mateo),0.0599311656,2012.0
3217,college of san mateo,94402-3784     ,Public,34,106385,127538,0,0,0,484,206002,275827,San Mateo,11859.0,Region 9R (San Mateo),California,Region 9R (San Mateo),0.0599311656,2012.0
3218,college of the canyons,91355-1899     ,Public,86,179656,216804,0,0,0,574,186902,249268,Santa Clarita,11119.0,Region 10,California,Region 10,0.064601696,2012.0
3219,college of the desert,92260-9305     ,Public,75,157137,153909,0,0,0,407,160148,147750,Palm Desert,13334.0,Region 9R (San Mateo),California,Region 9R (San Mateo),0.0599311656,2012.0
3220,college of the redwoods,95501-9300     ,Public,129,182531,203462,0,0,0,144,162262,124926,Eureka,11143.0,Region 6 (Santa Clara),California,Region 6 (Santa Clara),0.0591874928,2012.0
3221,college of the sequoias,93277-2234     ,Public,95,261552,245832,0,0,0,676,282333,268216,Visalia,7530.0,Region 6 (Santa Clara),California,Region 6 (Santa Clara),0.0591874928,2012.0
3222,college of the siskiyous,96094-2899     ,Public,31,53711,55018,0,0,0,98,47589,53534,Weed,12301.0,Region 6 (Santa Clara),California,Region 6 (Santa Clara),0.0591874928,2012.0
