,School,State,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,value,year,location
118,69,3,1640,2,205.0,525659.0,510946,496.0,0.0,1137384.0,398.0,325747.0,300776.0,587,18809.0,0.054194629,2013.0,26
119,70,3,1627,2,67.0,100000.0,78981,0.0,0.0,0.0,272.0,100000.0,119990.0,93,11558.0,0.054194629,2013.0,26
120,71,3,1633,2,24.0,62000.0,40299,0.0,0.0,0.0,26.0,16000.0,11500.0,851,9282.0,0.0546735078,2013.0,27
121,72,3,1650,2,178.0,249668.0,285422,44.0,0.0,134725.0,904.0,178313.0,259597.0,1048,16126.0,0.054194629,2013.0,26
122,281,3,1629,0,23.0,25862.0,29237,0.0,0.0,0.0,130.0,25813.0,30918.0,271,20386.0,0.0570794844,2013.0,24
123,389,3,1631,2,11.0,28101.0,22920,0.0,0.0,0.0,102.0,25000.0,24300.0,708,12215.0,0.0549822174,2013.0,25
124,445,3,1624,2,13.0,28167.0,25719,0.0,0.0,0.0,112.0,27163.0,25400.0,310,11753.0,0.0549822174,2013.0,25
125,453,3,1641,0,18.0,12222.0,12222,0.0,0.0,0.0,14.0,7530.0,7030.0,925,18790.0,0.054194629,2013.0,26
126,523,3,1638,2,67.0,71379.0,52523,0.0,0.0,0.0,368.0,73223.0,84405.0,418,8767.0,0.0570794844,2013.0,24
127,549,3,1649,0,95.0,161763.0,167885,0.0,0.0,0.0,5.0,6873.0,7988.0,1168,25657.0,0.0546735078,2013.0,27
128,714,3,1634,0,515.0,411802.0,510497,289.0,0.0,704319.0,233.0,110652.0,143000.0,1118,25475.0,0.0595510574,2013.0,23
129,732,3,1626,2,109.0,234243.0,234243,54.0,0.0,216938.0,169.0,108300.0,108300.0,47,18033.0,0.0574053236,2013.0,28
130,733,3,1628,0,266.0,147637.0,301204,115.0,0.0,176500.0,144.0,105396.0,139528.0,271,50172.0,0.0595510574,2013.0,23
131,828,3,1648,0,247.0,149454.0,201958,67.0,0.0,220475.0,116.0,65714.0,81300.0,1141,33326.0,0.0570794844,2013.0,24
132,987,3,1642,0,143.0,95385.0,105461,33.0,0.0,134849.0,75.0,38580.0,73159.0,80,33355.0,0.0570794844,2013.0,24
133,1237,3,1645,2,99.0,137734.0,149785,0.0,0.0,0.0,124.0,60646.0,45042.0,511,9463.0,0.0546735078,2013.0,27
134,1284,3,1647,2,91.0,168144.0,213077,0.0,0.0,0.0,274.0,130000.0,172761.0,105,12052.0,0.0549822174,2013.0,25
135,1356,3,1625,0,320.0,338488.0,486903,57.0,0.0,268005.0,73.0,67824.0,90432.0,47,31473.0,0.0570794844,2013.0,24
136,1359,3,1644,2,32.0,50000.0,44537,0.0,0.0,0.0,162.0,30000.0,33750.0,740,11364.0,0.0549822174,2013.0,25
137,1393,3,1635,0,73.0,141682.0,141076,0.0,0.0,0.0,71.0,44087.0,44087.0,675,24877.0,0.0574053236,2013.0,28
138,1394,3,1639,2,82.0,99987.0,100981,0.0,0.0,0.0,176.0,57792.0,57792.0,524,16140.0,0.0570794844,2013.0,24
139,1617,3,1621,2,63.0,51664.0,109874,0.0,0.0,0.0,106.0,50831.0,45950.0,362,17675.0,0.0595510574,2013.0,23
140,1630,3,1618,2,31.0,77341.0,46780,0.0,0.0,0.0,291.0,82879.0,112492.0,952,9672.0,0.0595510574,2013.0,23
141,1642,3,1622,2,522.0,473956.0,842874,51.0,0.0,123764.0,59.0,87031.0,55500.0,703,17738.0,0.0570794844,2013.0,24
142,1643,3,1620,2,19.0,27057.0,25769,0.0,0.0,0.0,131.0,51346.0,48901.0,185,16258.0,0.0549822174,2013.0,25
143,1846,3,1646,2,576.0,1021761.0,1064167,773.0,0.0,2165619.0,1056.0,937253.0,1247004.0,403,19917.0,0.0570794844,2013.0,24
144,1847,3,1652,2,94.0,170515.0,173786,0.0,0.0,0.0,401.0,123082.0,123082.0,427,14335.0,0.0546735078,2013.0,27
145,1848,3,1637,2,173.0,435563.0,380830,0.0,0.0,0.0,440.0,234273.0,262019.0,675,19894.0,0.0546735078,2013.0,27
146,1849,3,1619,2,141.0,207112.0,197702,0.0,0.0,0.0,190.0,125685.0,119286.0,789,16255.0,0.054194629,2013.0,26
147,1850,3,1617,2,199.0,345418.0,301455,0.0,0.0,0.0,436.0,327207.0,394659.0,952,15414.0,0.054194629,2013.0,26
148,1851,3,1643,2,32.0,48074.0,51465,0.0,0.0,0.0,119.0,49925.0,43993.0,80,7631.0,0.0560878225,2013.0,22
149,1852,3,1623,2,14.0,28507.0,28507,0.0,0.0,0.0,126.0,26571.0,25171.0,868,17064.0,0.0595510574,2013.0,23
150,1852,3,1623,2,14.0,28507.0,28507,0.0,0.0,0.0,126.0,26571.0,25171.0,544,14349.0,0.0595510574,2013.0,23
151,1853,3,1632,2,30.0,54949.0,42750,0.0,0.0,0.0,141.0,53147.0,49600.0,798,11593.0,0.0560878225,2013.0,22
152,1853,3,1632,2,30.0,54949.0,42750,0.0,0.0,0.0,141.0,53147.0,49600.0,743,10415.0,0.0560878225,2013.0,22
153,1865,3,1630,2,437.0,610072.0,635095,839.0,0.0,2296927.0,247.0,214050.0,218959.0,271,17899.0,0.054194629,2013.0,26
154,1865,3,1630,2,437.0,610072.0,635095,839.0,0.0,2296927.0,247.0,214050.0,218959.0,1035,23206.0,0.054194629,2013.0,26
155,1988,3,1651,0,135.0,81948.0,139588,0.0,0.0,0.0,60.0,34590.0,58608.0,245,34532.0,0.054194629,2013.0,26
156,64,2,1865,0,19.0,17814.0,23752,0.0,0.0,0.0,20.0,17586.0,20500.0,949,34444.0,0.0546421414,2013.0,20
157,65,2,1876,1,27.0,33530.0,60822,0.0,0.0,0.0,45.0,35525.0,27500.0,464,24240.0,0.054663248,2013.0,19
158,66,2,1874,2,1845.0,2855603.0,4336496,687.0,0.0,1858887.0,2285.0,2328498.0,2337657.0,1216,21960.0,0.0574065681,2013.0,14
159,66,2,1874,2,1845.0,2855603.0,4336496,687.0,0.0,1858887.0,2285.0,2328498.0,2337657.0,464,20269.0,0.0574065681,2013.0,14
160,66,2,1874,2,1845.0,2855603.0,4336496,687.0,0.0,1858887.0,2285.0,2328498.0,2337657.0,749,21256.0,0.0574065681,2013.0,14
161,66,2,1874,2,1845.0,2855603.0,4336496,687.0,0.0,1858887.0,2285.0,2328498.0,2337657.0,949,22909.0,0.0574065681,2013.0,14
162,66,2,1874,2,1845.0,2855603.0,4336496,687.0,0.0,1858887.0,2285.0,2328498.0,2337657.0,1114,19666.0,0.0574065681,2013.0,14
163,67,2,1877,2,147.0,310622.0,295484,0.0,0.0,0.0,1770.0,294260.0,365918.0,1379,14337.0,0.054663248,2013.0,19
164,82,2,1863,1,280.0,1200000.0,839572,180.0,0.0,667193.0,11272.0,2289818.0,3453091.0,949,30617.0,0.0546421414,2013.0,20
165,280,2,1870,2,83.0,148556.0,127332,0.0,0.0,0.0,266.0,129846.0,123663.0,273,9205.0,0.0574065681,2013.0,14
166,301,2,1869,2,39.0,143000.0,139914,0.0,0.0,0.0,321.0,130000.0,199480.0,218,12306.0,0.0574065681,2013.0,14
167,355,2,1885,2,46.0,93984.0,89509,0.0,0.0,0.0,119.0,153487.0,146178.0,408,14389.0,0.0546421414,2013.0,20
168,397,2,1884,1,9.0,45454.0,43315,0.0,0.0,0.0,633.0,47768.0,71140.0,408,26842.0,0.0546421414,2013.0,20
169,444,2,1881,1,2.0,4394.0,472,0.0,0.0,0.0,85.0,14391.0,22175.0,1249,29827.0,0.0546421414,2013.0,20
170,502,2,1891,2,46.0,51946.0,48368,0.0,0.0,0.0,87.0,43749.0,47000.0,1248,11396.0,0.0574065681,2013.0,14
171,534,2,1879,2,152.0,231260.0,207763,0.0,0.0,0.0,165.0,103578.0,103578.0,1223,11649.0,0.054663248,2013.0,19
172,574,2,1878,2,64.0,211365.0,277738,0.0,0.0,0.0,384.0,230825.0,292684.0,64,11959.0,0.0574065681,2013.0,14
173,578,2,1862,1,4.0,7041.0,5724,0.0,0.0,0.0,676.0,109183.0,156542.0,949,25089.0,0.0546421414,2013.0,20
174,578,2,1862,1,4.0,7041.0,5724,0.0,0.0,0.0,676.0,109183.0,156542.0,949,32523.0,0.0546421414,2013.0,20
175,648,2,1866,2,58.0,173933.0,205897,10.0,0.0,24029.0,315.0,195731.0,160084.0,949,12673.0,0.0574065681,2013.0,14
176,648,2,1866,2,58.0,173933.0,205897,10.0,0.0,24029.0,315.0,195731.0,160084.0,836,11208.0,0.0574065681,2013.0,21
177,672,2,1875,2,158.0,379599.0,323466,1.0,0.0,2000.0,1165.0,522258.0,827590.0,464,12043.0,0.0574065681,2013.0,14
